-7.215781,-35.899323
-7.218945,-35.89079
-7.223492,-35.884135
-7.218858,-35.891135
-7.215756,-35.899508
-7.224195,-35.893263
-7.215662,-35.901988
-7.225569,-35.885414
-7.215913,-35.890601
-7.2252,-35.886213
-7.215934,-35.898503
-7.215548,-35.901615
-7.215548,-35.901613
-7.221663,-35.884372
-7.224298,-35.898127
-7.215695,-35.899954
-7.215491,-35.891457
-7.21566,-35.901981
-7.215456,-35.891528
-7.219218,-35.8897
-7.214932,-35.892664
-7.218932,-35.890842
-7.215812,-35.899096
-7.216375,-35.889625
-7.217211,-35.897594
-7.215847,-35.898839
-7.223349,-35.899039
-7.21574,-35.899625
-7.215717,-35.899798
-7.218968,-35.890697
-7.216037,-35.903753
-7.215767,-35.899428
-7.223385,-35.899048
-7.214149,-35.905611
-7.215976,-35.898338
-7.215677,-35.900092
-7.216056,-35.904365
